Asset Name,Asset Id,Asset Name,Platform Family,Platform Family Category,Platform Family Solution,Asset Short Description,Asset Long Description,Asset Maturity,Deployment Effort,Is it Demo ready?,Which Cloud is it on?,Asset Tags,Asset Quick Start Guide,Repo Url,Demo Url,Deploy Guide Url / Attachment,Asset Owner,Asset Status,When Created,Last Updated,Asset Attachments,Asset Prerequisites List,Asset Dependencies List,Asset Architecture Steps,Asset Architecture Steps Color,Stats Deployment Count,Stats Demo Count,Stats Project Count,Stats Satisfaction Score,Stats Last Refreshed At,Owner Details,Video File
Data Policy Anomaly Bot,ATL-003,Data Policy Anomaly Bot,ATLAS,"Compliance Validation, Policy Governance",Master Data & Domain Context,Natural language compliance bot that validates organizational policies against live BigQuery datasets and flags anomalies by risk severity.,"The Data Policy Anomaly Bot is an AI-powered compliance accelerator that enables non-technical users to query organizational policies in plain English and validate them against live datasets in real time. Built on Azure GPT-4 + LangChain + BigQuery, the bot retrieves relevant policy documents via vector embeddings, generates structured validation queries, and runs them against live data to detect schema-level and data-level violations.

Anomaly detection results are classified by risk severity and surfaced as clear, actionable bullet-point summaries — no SQL expertise required. The system is designed for compliance teams operating under GDPR, CCPA, or internal data governance frameworks who need to dramatically reduce manual review cycles.

Key challenges solved: manual compliance checks against large datasets are error-prone and IT-dependent. This bot eliminates the bottleneck by automating policy retrieval, validation, and risk classification end-to-end, reducing dependency on technical teams and lowering non-compliance exposure.

Known limitations: token limits can constrain validation on very large BigQuery datasets; complex edge-case queries may need refinement. Processing time for large dataset validation averages 5–10 minutes per query.

Team: Abhiram, Veerasekar, Renju | Owner: Veera",validated,Medium,Yes,"Azure, GCP","Compliance, Policy Governance, Anomaly Detection, BigQuery, GDPR, CCPA, LangChain, GPT-4, Vector Embeddings, Risk Classification",Gui Based,Request for Repo,Not Available Yet,NA,Abhiram Kalidindi,active,12/1/2025,5/1/2026,NA,"Python 3.x, Streamlit, Google BigQuery, Azure OpenAI",WIP,Natural Language Query --> Policy Document Retrieval (Vector Embeddings / FAISS) --> Query Structuring (GPT-4) --> BigQuery Validation (Schema + Data Level) --> Anomaly Detection --> Risk Severity Classification --> Actionable Summary Output,"Blue, Violet, Orange, Green and repeat",0,0,0,NA,5/1/2026,Abhiram.Kalidindi@infovision.com,PolicyAnomalyBot.mp4
Sentiment Analysis,SNT-001,Sentiment Analysis on Call Recordings,RELAY,"Call Quality Monitoring, Compliance Analytics",Customer Care Studio,"Gemini 1.5 Pro multimodal call analyzer that detects sentiment, tone sarcasm, and compliance violations directly from audio — no transcription needed.","The Sentiment Analysis on Call Recordings system uses Google Gemini 1.5 Pro's native multimodal audio processing to analyze customer service calls end-to-end without requiring a separate transcription step. Gemini directly evaluates both audio content and vocal tone to assess sentiment intensity, tone sarcasm, and linguistic compliance markers — matching the latency and accuracy of text-based analysis.

The system flags calls for compliance violations based on predefined regulatory keywords and thresholds, and generates customizable reports highlighting sentiment trends, risk areas, and agent performance metrics. This positions it as both a real-time QA layer and a post-call analytics engine for call center operations.

Key challenges solved: traditional sentiment analysis pipelines require transcription as a prerequisite, adding cost, latency, and accuracy loss (especially for accented speech or noisy environments). Gemini’s direct audio processing eliminates this stage entirely, delivering faster, more nuanced results.

Validated on Verizon call center data. Repo available.

Owner: Gokulram | Repo: https://github.com/by-Gokulram/tone_sentiment_analysis.git",validated,Medium,Yes,GCP,"Sentiment Analysis, Call Recordings, Compliance, Tone Detection, Gemini, Multimodal, Audio Processing, Call Center, QA Monitoring",Embedded into IVR system ,https://github.com/by-Gokulram/tone_sentiment_analysis.git,Not Available Yet,NA,Pratyoosh Patel,active,4/1/2025,5/1/2026,NA,"Python 3.x, LangChain, Streamlit, Gemini 1.5 Pro",WIP,Audio Input (Call Recording) --> Gemini 1.5 Pro Direct Audio Analysis --> Sentiment Scoring (Tone Intensity / Sarcasm / Emotion) --> Compliance Keyword Detection --> Risk Flagging --> Customizable Report Generation,"Blue, Violet, Orange, Green and repeat",1,3,1,65,5/1/2026,Pratyoosh.Patel@infovision.com,SentimentAnalysisDemo.mp4
SLM vs LLM Decision Playbook,NXS-001,SLM vs LLM Decision Playbook,SENTINEL,"Model Selection, Cost Benchmarking",Model & Agent Operations,"A systematic framework for choosing between Small Language Models (SLM) and Large Language Models (LLM) based on deployment constraints, operational readiness, and business requirements.","The SLM vs LLM Decision Playbook is a cost-analysis and benchmarking tool that helps engineering teams make informed model selection decisions before committing to a tech stack. Built with LangChain, LlamaIndex, and Tiktoken, the tool lets users select from multiple LLMs (GPT-3.5-turbo, GPT-3.5-turbo-16k, text-davinci-002/003) and embedding models (text-embedding-ada-002), run queries against a shared dataset, and compare cost per 1K tokens, input/output/embedding token counts, and total query cost side by side.

Outputs include bar chart visualizations of cost breakdowns per model combination and a word cloud of the most semantically relevant terms in the retrieved data. The tool embeds the data source once at initialization and reuses those vectors across all queries, eliminating redundant embedding costs.

Key value for Nexus: every platform family (Forge, Relay, Sentinel, Atlas) faces the same model selection question at project kickoff. This playbook gives teams a structured, data-driven answer rather than a gut-feel choice — directly reducing LLM spend on production deployments.

Owner: Noumika | Contributors: Pravallika Hazarath, Noumika Balaji",validated,Low,Yes,Vercel,"LLM Benchmarking, Cost Analysis, Token Cost, Model Selection, SLM, Embeddings, LangChain, LlamaIndex, GPT",GUI based,Request for Repo,https://arch-eval-wx7y.vercel.app/,NA,Dhanuvanth Senthilkumar,active,1/1/2026,5/1/2026,NA,"React and React DOM,TypeScript and type definitions,Vite and plugins,Tailwind CSS and PostCSS,Google Generative AI SDK, Supabase client, Lucide icons",WIP,User assessment form ? Decision engine (gatekeepers + weighted score) ? Recommendation result ? Gemini narrative ? Persist submissions (optional Supabase),"Blue, Violet, Orange, Green and repeat",0,3,0,NA,5/1/2026,Dhanuvanth.SenthilKumar@infovision.com,slm_vs_llm.mp4
PromptEval,NXS-002,PromptEval,NEXUS,"Prompt Engineering, Quality Evaluation",Common Infrastructure,"Shared prompt evaluation framework for testing, scoring, and iterating on prompts across all platform families and LLM providers.","PromptEval is a cross-platform prompt quality evaluation framework that provides a structured methodology for testing, scoring, and iterating on prompts before they are deployed in production accelerators. As a Nexus shared utility, it serves all platform families — Forge engineers validating code review prompts, Relay teams testing conversational agent personas, Sentinel teams assessing compliance query accuracy, and Atlas teams evaluating data insight prompts.

Core capabilities include: multi-prompt variant testing against the same input dataset, response scoring across dimensions (accuracy, relevance, completeness, tone adherence), side-by-side comparison of prompt outputs, regression detection when prompts are modified, and exportable evaluation reports.

Key value for Nexus: prompt quality is the single most variable factor in LLM output quality across all accelerators. Without a shared evaluation layer, every team re-invents ad hoc testing. PromptEval standardizes this into a reusable workflow that can be plugged into any accelerator’s development cycle.

Note: Sheet2 documentation for PromptEval as a standalone entry is limited — this entry is derived from the LIE platform (LLM Insights Engine) prompt benchmarking capabilities and the broader Nexus prompt management pattern established across multiple projects.",experimental,Low,Yes,"Azure, GCP","Prompt Engineering, Evaluation, Benchmarking, Quality, LLM Testing, Regression, Prompt Management",Console / Chat interface / Gui based,Request for Repo,Not Available Yet,NA,Kishore Bodelu,draft,5/1/2026,5/1/2026,NA,"Python 3.x, LangChain, Azure OpenAI",WIP,Prompt Variants Input --> Dataset Selection --> Multi-Model Execution --> Response Scoring (Accuracy / Relevance / Tone) --> Side-by-Side Comparison --> Regression Detection --> Evaluation Report Export,"Blue, Violet, Orange, Green and repeat",1,2,1,80,5/1/2026,Kishore.Bodelu@infovision.com,prompteval.mp4
LIE – LLM Insight Engine,NXS-003,LIE – LLM Insight Engine,SENTINEL,"Model Selection, Cost Benchmarking",Model & Agent Operations,"Unified multi-LLM benchmarking platform that runs concurrent queries across GPT, Mistral, Llama, Gemini and compares responses side by side.","The LLM Insight Engine (LIE) is a single unified platform that enables development teams to benchmark any combination of LLMs and embedding models against the same training document and query set — delivering fair, reproducible, apples-to-apples comparisons.

Users upload a source document, select from an extensive list of LLMs (GPT-3.5/4/4-32k, PaLM 2, Stable LM 3B, Mistral 7B, Llama, Claude, Cohere, Falcon 40B and more) and embedding models (text-embedding-ada-002, MiniLM-L6-v2, gte-large, GooglePalmEmbeddings), and the engine computes all viable LLM-embedding combinations. Queries are executed concurrently across all combinations with response times tracked. Results are displayed side by side on screen and exportable as Excel or via email.

Key technical achievement: moving model execution from CPU to GPU layers (CUDA) reduced concurrent execution times significantly. Parameters are held constant across all runs (Temperature=0.2, Similarity Top K=2, Chunk Size=1000, Chunk Overlap=10) ensuring benchmarking integrity.

Classification: Accelerator (100%) | Owner: Noumika | Contributors: Abhiram, Pravallika, Veerashekar, Blesson, Hebin",battle-tested,High,Yes,"Azure, GCP","LLM Benchmarking, Multi-LLM, GPT, Mistral, Llama, Gemini, Embeddings, Model Comparison, FAISS, LangChain, LlamaIndex",GUI based,Request for Repo,Not Available Yet,NA,Noumika Balaji,active,4/1/2024,4/1/2026,NA,"Python 3.x, React, LangChain, LlamaIndex, PyTorch, CUDA, FAISS",WIP,Document Upload --> Model & Embedding Selection --> Viable Combination Computation --> Concurrent Query Execution (GPU/CUDA) --> Response + Latency Capture --> Side-by-Side Display --> Excel Export / Email,"Blue, Violet, Orange, Green and repeat",1,7,1,70,4/1/2026,Noumika.Balaji@infovision.com,LLMInsightEngine.mp4
AIOps,RLY-004,AIOps,RELAY,"Automated Support, SRE",Service & Order Operations AI,"Agentic AI Platform to monitor, triage and resolve production incidents","Agentic AI Platform for AI Operations in a Multi-Agent setup to monitor, triage and resolve production incidents in a guided autonomy mode",Experimental,High,Yes,Azure,"AIOps, Production Support, Incident monitoring, Incident resolution, Agentic AI for Ops",GUI based,Request for Repo,http://74.249.248.133:8887/,NA,Balasubramani Murugesan,active,4/15/2026,5/8/2026,,Hosted service,None,TBD,TBD,1,3,1,70,5/11/2026,Balasubramani.Murugesan@infovision.com,Yet to created
ADLC Unified Framework,FRG-004,ADLC Unified Framework,FORGE,SDLC Automation & Acceleration,Engineering Productivity Office,Unified AI Enabler Framework for AIDLC,"AI Enabler Framework in a coding IDE to analyze, design, build, test and audit components for different roles - BA, Front End Dev, Back End Dev, DBA and QA for any application SDLC",battle-tested,Medium,Yes,NA,"AI SDLC, AI enabled development, AI framework for SDLC, front end development, back end development, BA Analysis, Reverse Analysis",IDE,Request for Repo,Not Available Yet,In Progress,Priyanka Fulewale,active,3/30/2026,5/8/2026,,IDE deployment - autosetup,"Application Standards, References and Guides",TBD,TBD,1,1,1,85,5/11/2026,Priyanka.Fulewale@infovision.com,ADLCUnifiedFramework-Screenshot.png
Autonomous SDLC Framework,FRG-005,Autonomous SDLC Framework,FORGE,SDLC Automation & Acceleration,Engineering Productivity Office,AI Enabler to perform autonomous AIDLC,AI Enabler Framework to do an Autonomous SDLC from ADO entry to feature rollout through complete SDLC,Experimental,Medium,Yes,NA,"Autonomous SDLC, AI SDLC, AI enabled development, AI framework for SDLC",IDE,Request for Repo,Video available,In Progress,Nainik K,active,4/30/2026,5/8/2026,,"ADO, Github, IDE deployment (VSCode)","Application Standards, References and Guides",TBD,TBD,0,2,0,NA,5/11/2026,Nainik.K@infovision.com,AutonomousSDLC.mp4
Video Intelligence Platform (VIP),NXS-004,Video Intelligence Platform (VIP),NEXUS,Video processing using LLM and text annotation,Multi-Agent Orchestration,Non realtime processing of videos and video to text interface for video analysis,"Using only CPUs to run video based large language models and converting video description to texts efficiently. This approach emphasizes on running video based large language model to run on intel's cpu only sapphire rapids instance. This enables the vLLM to process the long length videos like cctv videos, instore cameras, inventory cameras etc all on cpus and create text based summaries for easy rundown and anomany detection. This text is then tagged and processed for certain event tracking. ",Experimental,High,Yes,On prem Intel Sapphire Rapids CPU,"AI video processing, tet annotation, text summary, chat interface",Multi step process including hosting an on-prem server,Request for Repo,Video available,NA,Pratyoosh Patel,active,7/8/2024,10/23/2024,PDF Document,"Intel Xeon Servers, VMware Virtualization Services, VideoLlama Model, Vector Database, Edge Devices/Cameras, Generative AI Infrastructure","Intel, VMware, VideoLlama, Vector Database, REST APIs, SDKs, Edge Computing, Cloud/On-Prem Infrastructure",Data Ingestion ? Embedding Generation ? Vector Database Storage ? Retriever Subsystem ? Model Server Subsystem ? Serving Subsystem/User Interface,TBD,1,10+,0,70,5/11/2026,"InfoVision in collaboration with Intel and VMware. Credits: Abhiram Kalidindi, Noumika Balaji, Ria Ghosh, Pratyoosh Patel",VIPDemo.mp4
Responsible AI Automation,SNT-002,Responsible AI Automation,SENTINEL,"Decisoin automation, Responsible AI",AI Run Office,Agent based decisoin automation for Responsible AI,"RAIE is an enterprise-grade Responsible AI governance platform, designed with agentic architecture to transform manual, multi-stakeholder approval workflows into an intelligent, autonomous system. Purpose-built AI agents automatically enrich submissions by gathering data requirements, infrastructure specs, risk assessments, budget availability, and compliance inputs from enterprise systems — eliminating the manual back-and-forth that typically drives approval cycles to 45+ days. A multi-agent orchestration layer routes requests through parallel enrichment and compliance checks, enabling approximately 80% of use cases to be auto-approved against preset policy thresholds while flagging high-risk initiatives for streamlined human-in-the-loop review with pre-populated context. The platform maintains full auditability, explainability, and fail-safe guardrails — ensuring nothing that requires human oversight is ever auto-approved. RAIE reduces total cost of approvals by up to 71% while accelerating AI adoption at enterprise scale.",,High,Yes,"Azure, GCP, AWS","AI Governance, Responsible AI, Enterprise Compliance, Risk Management, Regulatory Compliance",GUI based,Request for Repo,Not Available Yet,NA,Hasham Ul Haq,active,4/1/2025,5/8/2026,NA,Hosted service,"Knowledge base / policy repository (for agent reasoning)
Enterprise data connectors (Data team systems, infra APIs, budget systems)
Model registry & library (approved algorithms)
HITL review platform / dashboard (for flagged submissions)
Audit logging infrastructure
Stakeholder review notification system
Approval authority access controls / RBAC system
Real-time monitoring & observability stack (agent telemetry)",Discovery --> Enrichment --> Orchestration  -->Integration  --> Shadow Mode --> Assisted Review  --> Scale,"Blue, Violet, Orange, Green and repeat",1,5,1,75,5/1/2026,Hasham.UlHaq@infovision.com,ResponsibleAIAgentic.mp4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
